Valor,Original,Equalizado 
0,56014,0 
1,52777,106634 
2,81689,219833 
3,127903,211749 
4,179603,185939 
5,247905,186878 
6,335352,279099 
7,431585,112015 
8,555702,366167 
9,675339,150257 
10,767744,0 
11,866146,397932 
12,950654,256860 
13,1008690,0 
14,1047838,457700 
15,1068377,0 
16,1085165,321304 
17,1102739,228349 
18,1121880,276688 
19,1128937,0 
20,1128713,253763 
21,1126393,398639 
22,1105350,286212 
23,1079661,280101 
24,1062953,0 
25,1054883,288463 
26,1047836,0 
27,1044958,774230 
28,1038854,0 
29,1032951,290345 
30,1017904,0 
31,999094,314940 
32,979392,0 
33,962503,798664 
34,941363,0 
35,919753,322741 
36,900237,295821 
37,881636,0 
38,859064,0 
39,838821,0 
40,817662,1167721 
41,799153,0 
42,784658,0 
43,777385,0 
44,774813,633840 
45,770350,0 
46,769254,0 
47,763052,547618 
48,754153,628057 
49,736256,0 
50,710826,0 
51,678735,0 
52,637073,618995 
53,589807,0 
54,536154,552574 
55,480147,0 
56,419629,609089 
57,361351,0 
58,306006,0 
59,255223,277866 
60,211113,330367 
61,174150,556705 
62,142789,0 
63,117428,271670 
64,99071,334044 
65,84534,0 
66,72833,266386 
67,63546,0 
68,57064,551565 
69,50971,601083 
70,46761,0 
71,43580,0 
72,40130,0 
73,37588,604717 
74,36096,0 
75,34030,541057 
76,32599,282348 
77,31299,322556 
78,29954,0 
79,29133,0 
80,27977,290842 
81,27272,316681 
82,26680,532193 
83,26150,0 
84,25616,297406 
85,25391,317886 
86,24922,0 
87,24606,0 
88,24314,823486 
89,23928,327828 
90,23802,0 
91,23347,0 
92,22866,303505 
93,22770,0 
94,22540,335417 
95,22017,511053 
96,21449,307054 
97,21263,0 
98,20853,342764 
99,20155,312961 
100,19792,0 
101,19580,501000 
102,18861,349983 
103,18439,0 
104,18072,322854 
105,17747,0 
106,17179,0 
107,16816,356605 
108,16312,824469 
109,16015,0 
110,15696,0 
111,15240,359021 
112,15201,341013 
113,14447,0 
114,14334,477922 
115,14138,0 
116,13568,362138 
117,13479,347196 
118,13368,0 
119,13137,0 
120,12924,470869 
121,12764,712807 
122,12698,0 
123,12685,0 
124,12696,0 
125,12836,360843 
126,13124,818122 
127,13383,0 
128,14446,0 
129,15438,0 
130,17349,715991 
131,20214,0 
132,24423,460511 
133,30816,0 
134,39940,363316 
135,51587,357388 
136,66821,0 
137,86181,451083 
138,108939,0 
139,134199,727496 
140,163219,0 
141,193381,0 
142,224647,0 
143,256566,443376 
144,287180,730389 
145,314239,0 
146,337148,0 
147,353191,0 
148,361608,798349 
149,364028,367051 
150,360671,0 
151,354384,0 
152,346068,0 
153,334724,731251 
154,325459,419924 
155,316166,0 
156,308426,0 
157,301059,0 
158,293765,725124 
159,286466,404506 
160,279579,0 
161,271195,0 
162,262160,709445 
163,251193,0 
164,240141,385007 
165,228933,0 
166,214351,334736 
167,202502,351079 
168,188827,360141 
169,176534,0 
170,163972,319041 
171,151947,335856 
172,141507,0 
173,132383,331170 
174,126383,297803 
175,125052,316666 
176,128835,0 
177,137734,298892 
178,147477,275712 
179,153006,292034 
180,158237,264028 
181,164663,250247 
182,178241,264980 
183,185338,227400 
184,178154,224780 
185,160688,427163 
186,137834,196592 
187,111371,159030 
188,81172,373813 
189,53096,129487 
190,34971,421630 
191,25854,84840 
192,16642,332868 
193,7002,273856 
194,2008,205131 
195,527,221522 
196,117,311494 
197,24,243186 
198,5,245215 
199,0,246958 
200,2,243616 
201,0,228868 
202,0,241318 
203,0,241200 
204,0,232467 
205,0,219974 
206,0,195658 
207,0,217684 
208,0,168824 
209,0,199846 
210,0,232006 
211,0,263184 
212,0,295639 
213,0,205123 
214,0,117328 
215,0,346124 
216,0,229474 
217,0,133481 
218,0,234893 
219,0,373925 
220,0,135366 
221,0,236723 
222,0,362993 
223,0,110774 
224,0,240655 
225,0,338936 
226,0,104508 
227,0,325981 
228,0,215961 
229,0,310300 
230,0,98581 
231,0,300862 
232,0,293453 
233,0,193546 
234,0,279593 
235,0,179913 
236,0,176978 
237,0,258065 
238,0,246884 
239,0,235299 
240,0,293314 
241,0,266854 
242,0,255750 
243,0,222008 
244,0,251460 
245,0,270656 
246,0,234262 
247,0,220173 
248,0,165649 
249,0,222501 
250,0,273944 
251,0,233609 
252,0,233681 
253,0,209118 
254,0,279649 
255,0,195881 
