Valor,Original,Equalizado 
0,0,0 
1,0,31566 
2,0,0 
3,0,0 
4,0,0 
5,0,418851 
6,0,96369 
7,0,0 
8,0,0 
9,0,0 
10,0,0 
11,0,511146 
12,0,81213 
13,0,0 
14,0,0 
15,0,0 
16,0,0 
17,0,0 
18,0,709791 
19,0,107163 
20,0,0 
21,0,0 
22,0,0 
23,0,0 
24,0,0 
25,0,0 
26,0,0 
27,0,0 
28,0,951630 
29,0,130254 
30,0,0 
31,0,0 
32,0,0 
33,0,0 
34,0,0 
35,0,0 
36,0,0 
37,0,811800 
38,0,151680 
39,0,0 
40,0,206880 
41,0,0 
42,0,0 
43,0,0 
44,0,0 
45,0,0 
46,0,0 
47,0,723291 
48,0,0 
49,0,173484 
50,0,0 
51,0,0 
52,0,0 
53,0,0 
54,0,0 
55,0,0 
56,0,739932 
57,0,0 
58,0,189420 
59,0,0 
60,0,0 
61,0,0 
62,0,0 
63,0,0 
64,0,0 
65,0,828285 
66,0,0 
67,0,208767 
68,0,0 
69,0,0 
70,0,0 
71,3,0 
72,3,0 
73,3,0 
74,6,0 
75,21,774576 
76,18,0 
77,21,219180 
78,69,0 
79,144,261534 
80,177,0 
81,456,0 
82,870,0 
83,23979,0 
84,5796,0 
85,418851,678444 
86,29973,0 
87,66396,211212 
88,511146,0 
89,81213,0 
90,709791,0 
91,107163,0 
92,951630,540513 
93,130254,0 
94,811800,191625 
95,151680,0 
96,206880,0 
97,723291,0 
98,173484,439590 
99,739932,0 
100,189420,177366 
101,828285,0 
102,208767,0 
103,774576,371220 
104,219180,0 
105,261534,165105 
106,678444,0 
107,211212,187950 
108,540513,0 
109,191625,0 
110,439590,395265 
111,177366,0 
112,371220,158211 
113,165105,0 
114,187950,0 
115,395265,0 
116,158211,379902 
117,379902,153744 
118,153744,0 
119,365280,0 
120,153729,365280 
121,339144,0 
122,157380,153729 
123,181203,0 
124,323124,0 
125,151194,339144 
126,316158,157380 
127,143730,0 
128,315156,181203 
129,137796,0 
130,269166,0 
131,134952,323124 
132,152715,0 
133,242769,151194 
134,125967,0 
135,238659,0 
136,113766,316158 
137,246153,143730 
138,110181,0 
139,223638,0 
140,110886,315156 
141,128436,137796 
142,209199,0 
143,104088,0 
144,210357,269166 
145,96255,134952 
146,230379,152715 
147,93153,0 
148,229341,0 
149,93903,242769 
150,114069,125967 
151,231666,0 
152,88659,238659 
153,254577,113766 
154,76860,0 
155,298695,246153 
156,76935,110181 
157,291708,0 
158,79404,0 
159,102375,223638 
160,255414,110886 
161,74676,128436 
162,256524,0 
163,64983,209199 
164,252594,104088 
165,64362,0 
166,230949,210357 
167,65517,96255 
168,86223,0 
169,222654,230379 
170,60711,93153 
171,260451,0 
172,53352,229341 
173,313212,93903 
174,54210,114069 
175,334149,0 
176,56736,231666 
177,77508,88659 
178,347310,0 
179,49497,254577 
180,366810,76860 
181,42414,0 
182,429213,0 
183,38055,375630 
184,339006,0 
185,34512,0 
186,49278,291708 
187,238239,79404 
188,28821,102375 
189,222339,0 
190,24429,255414 
191,192963,74676 
192,21834,0 
193,197175,256524 
194,19662,64983 
195,28656,0 
196,185373,252594 
197,17340,64362 
198,135012,0 
199,14985,230949 
200,136044,151740 
201,12117,0 
202,183906,0 
203,9219,283365 
204,11487,0 
205,345795,0 
206,5883,313803 
207,390552,0 
208,2388,0 
209,268533,367422 
210,537,0 
211,465,0 
212,195,0 
213,84,390885 
214,48,77508 
215,15,0 
216,21,0 
217,18,347310 
218,12,49497 
219,3,0 
220,0,0 
221,3,409224 
222,3,0 
223,0,0 
224,0,0 
225,0,429213 
226,0,38055 
227,0,0 
228,0,0 
229,0,373518 
230,0,49278 
231,0,0 
232,0,267060 
233,0,0 
234,0,222339 
235,0,24429 
236,0,192963 
237,0,21834 
238,0,197175 
239,0,48318 
240,0,0 
241,0,202713 
242,0,149997 
243,0,136044 
244,0,12117 
245,0,204612 
246,0,0 
247,0,0 
248,0,0 
249,0,351678 
250,0,0 
251,0,0 
252,0,392940 
253,0,0 
254,0,0 
255,0,269937 
